##SubID,time,CumHazardObs
0,0,0
0,1,214.528813079681
0,2,604.983593651076
0,3,1200.97487434223
0,4,1219.25461854408
0,5,2506.1779891229
0,6,2298.15879103232
0,7,2767.74984477772
0,8,4194.00669906815
0,9,5275.42354300074
0,10,5880.54307352618
0,11,7172.6503559271
0,12,5934.05166424595
0,13,7609.46723652823
0,14,9666.31648657589
0,15,9762.94607758282
0,16,11410.146489536
0,17,13084.205908788
0,18,14155.3634840099
0,19,14610.296418442
0,20,16499.2625298757
0,21,15872.5618544568
0,22,19906.3250667205
0,23,17052.9309890479
0,24,15122.9875998406
1,0,0
1,1,159.692703800348
1,2,507.914110302818
1,3,758.178736442088
1,4,1375.94312639408
1,5,1677.8787489327
1,6,2022.99254100226
1,7,2917.82250559615
1,8,3553.34476031771
1,9,4340.29980348175
1,10,4641.1531760729
1,11,5232.25140128755
1,12,6486.2995529596
1,13,5672.19849908414
1,14,7299.98371375326
1,15,7592.55936923713
1,16,9822.83726116285
1,17,11947.0777167572
1,18,11120.8772460878
1,19,12843.6487573347
1,20,14981.8802613486
1,21,15584.1161500976
1,22,15413.4069938725
1,23,16464.3599730699
1,24,17537.3979250733
2,0,0
2,1,157.965452243904
2,2,444.582233080428
2,3,762.534027968477
2,4,1279.08848407578
2,5,1721.73118564919
2,6,2407.36238853677
2,7,3371.82476325233
2,8,3612.70858103038
2,9,4359.87922184178
2,10,4400.76258772196
2,11,5952.87264762666
2,12,6708.44858786173
2,13,7617.22490520792
2,14,7362.89203106121
2,15,9249.40903185703
2,16,9206.22409586311
2,17,9169.86325198349
2,18,9679.30324387834
2,19,12237.964416154
2,20,14612.8833890376
2,21,16060.8631457888
2,22,13723.2695667643
2,23,13906.9537437026
2,24,15448.6958508144
3,0,0
3,1,344.258919577991
3,2,835.445048951959
3,3,1673.23985549232
3,4,2387.10950869263
3,5,2921.75016562409
3,6,3677.64952338396
3,7,4594.12167668673
3,8,6147.44935451879
3,9,7816.98211908926
3,10,9359.85044034327
3,11,9639.31905085411
3,12,10793.3033934915
3,13,13463.6538642106
3,14,14078.9142239027
3,15,14173.4581785936
3,16,14909.0489926823
3,17,19347.5796839891
3,18,20231.5196951402
3,19,17497.9209510316
3,20,24389.7641219104
3,21,22013.8906201044
3,22,27263.7659071691
3,23,27829.5162133199
3,24,29662.7396611926
4,0,0
4,1,205.403810954623
4,2,583.3975654996
4,3,999.091612264206
4,4,1520.20420619536
4,5,1918.89539471028
4,6,3014.71809081767
4,7,3483.3190475297
4,8,4288.82857625009
4,9,4491.65936986791
4,10,5224.40054436806
4,11,6724.77467593112
4,12,7301.09537062468
4,13,7764.69478312723
4,14,8885.88503555677
4,15,9956.26813201192
4,16,10791.26892965
4,17,13154.719214929
4,18,11929.4971688197
4,19,11791.7331951047
4,20,15478.1530630284
4,21,15553.2525094565
4,22,18164.0418441317
4,23,18251.0719464762
4,24,22172.3140241891
5,0,0
5,1,227.662531088778
5,2,602.569070335132
5,3,1020.80136443385
5,4,1272.99364806238
5,5,2309.23665012377
5,6,2383.20785924101
5,7,3774.56230596121
5,8,4351.96835139697
5,9,4572.55039874215
5,10,5180.63591419908
5,11,5892.84331368673
5,12,7658.81123695901
5,13,8786.09216522013
5,14,10883.0380508828
5,15,11386.8673822665
5,16,12133.3851686785
5,17,11622.0435309957
5,18,13568.5214496588
5,19,18007.5087435416
5,20,15161.8291270536
5,21,15389.4678672661
5,22,17580.7593167538
5,23,17208.8743646
5,24,18522.5298043955
6,0,0
6,1,248.773391272809
6,2,639.405710693803
6,3,1108.57711795341
6,4,1890.50360932161
6,5,2912.70665390158
6,6,3555.32195822013
6,7,4030.00686320977
6,8,5440.95752240867
6,9,7073.80450062261
6,10,7178.13891758194
6,11,9446.7009698434
6,12,10287.7886655172
6,13,10800.0362657643
6,14,11656.5206334836
6,15,11210.3480193787
6,16,14547.5265339158
6,17,14511.4783542235
6,18,15387.4965051391
6,19,16728.8313128407
6,20,19209.7327874062
6,21,20620.4226781124
6,22,24240.4977517077
6,23,25628.4778542563
6,24,26205.9524694926
7,0,0
7,1,206.729044592947
7,2,774.227278689099
7,3,1267.63755972032
7,4,1554.16185146179
7,5,2390.42391942033
7,6,2811.04028522027
7,7,3542.43169793055
7,8,5071.50798547256
7,9,5028.99124905913
7,10,8149.68440703625
7,11,9466.5258329677
7,12,9717.91491076545
7,13,8959.34165464296
7,14,12816.871507696
7,15,11920.9128047522
7,16,11274.4649935105
7,17,15962.1997558664
7,18,18057.8541151192
7,19,16434.0550771546
7,20,20974.2681198029
7,21,22694.421314524
7,22,22814.113392442
7,23,24893.6019140476
7,24,30777.536475712
8,0,0
8,1,205.327684560553
8,2,672.069037542929
8,3,950.938048648824
8,4,1384.74810891412
8,5,2467.96061973597
8,6,2715.10236140865
8,7,2832.27302290132
8,8,4458.83884759923
8,9,4578.36816258812
8,10,5894.1113254543
8,11,8080.0102596649
8,12,7237.145884414
8,13,7831.65296007017
8,14,9169.56147181198
8,15,13188.0682265407
8,16,12278.5853260199
8,17,13452.3658583949
8,18,13481.699421166
8,19,15374.9571668643
8,20,15669.2778352246
8,21,14920.2318581083
8,22,19077.2404116703
8,23,21490.4949541105
8,24,19987.0306209829
9,0,0
9,1,224.098150888246
9,2,541.012616663039
9,3,1134.28866954169
9,4,1866.05251924156
9,5,2310.20475810699
9,6,2875.75712466683
9,7,3856.48419178803
9,8,4901.28998129185
9,9,5776.26276597484
9,10,6110.69756620866
9,11,7295.86496259935
9,12,9279.05615025734
9,13,7702.38351351956
9,14,9136.35399836624
9,15,11950.193724786
9,16,12741.7554045631
9,17,11751.5926153933
9,18,14982.843008997
9,19,15686.5272240725
9,20,17263.3936594578
9,21,20722.0813064581
9,22,16688.5168546181
9,23,19814.798892575
9,24,24682.4141466551
10,0,0
10,1,218.142957441549
10,2,723.224830249799
10,3,1264.86353109498
10,4,1707.50150026358
10,5,2176.61855476062
10,6,3756.08187016154
10,7,3980.28221891668
10,8,5785.34101653121
10,9,5613.6069845273
10,10,7131.48418123224
10,11,8048.00318640281
10,12,8463.56314293488
10,13,9353.43678060775
10,14,10576.8281125097
10,15,12256.437630264
10,16,14209.7089592702
10,17,14517.6003812772
10,18,16760.9333047435
10,19,18581.1432289818
10,20,17793.7453673737
10,21,24858.5976742407
10,22,21818.5973363408
10,23,24210.8946919574
10,24,25717.426039884
11,0,0
11,1,259.637021008831
11,2,744.108385362675
11,3,1229.4331239674
11,4,1543.67343976719
11,5,2692.1997468268
11,6,2887.65976265932
11,7,3964.7973537845
11,8,4672.4022540583
11,9,5386.35429158447
11,10,6860.30680999715
11,11,8658.7041320457
11,12,10586.3209359425
11,13,12375.6159653395
11,14,11954.3334420981
11,15,11667.5116947298
11,16,15068.4582130085
11,17,13321.0528593809
11,18,19697.7487072985
11,19,19172.6730203124
11,20,20941.8015088981
11,21,19017.7032568822
11,22,27136.8781121008
11,23,24428.1067679306
11,24,26475.4805872152
12,0,0
12,1,239.926638559788
12,2,603.336950056563
12,3,1220.47835926214
12,4,1506.39540757834
12,5,2285.3258937474
12,6,2994.96399546293
12,7,3736.86047675268
12,8,5184.04902794542
12,9,4636.79815583431
12,10,6453.2568026607
12,11,6410.46031792301
12,12,8079.2167037292
12,13,8982.64229885779
12,14,11607.1292047611
12,15,12163.1952832806
12,16,11451.8387593391
12,17,14047.8338731171
12,18,17827.4328255023
12,19,15416.6773075871
12,20,18318.5250288278
12,21,18351.8968752662
12,22,20991.3502088076
12,23,22980.049735748
12,24,24082.8857666526
13,0,0
13,1,252.904360522735
13,2,603.045319169056
13,3,1262.05094329899
13,4,1840.60796552601
13,5,2685.86361365407
13,6,2907.75245561471
13,7,3733.50438377281
13,8,5617.06910769881
13,9,6813.94014236597
13,10,7229.08985587634
13,11,8784.31318594438
13,12,7943.83455689464
13,13,12762.1468111162
13,14,10365.8494622883
13,15,10465.9929271231
13,16,13921.1339248439
13,17,16423.1589731138
13,18,16516.2578923066
13,19,16537.0693393434
13,20,20640.3030313382
13,21,19976.1210277426
13,22,21385.4935824585
13,23,24362.6367684751
13,24,24918.811425787
14,0,0
14,1,209.712800122907
14,2,582.007973604577
14,3,1101.85094618478
14,4,1699.58285613248
14,5,2056.84073550151
14,6,2903.87443374818
14,7,4317.4639111176
14,8,5483.79123274527
14,9,4796.94374652998
14,10,5319.60622930751
14,11,6912.8963162129
14,12,9524.55338191335
14,13,9728.59800486167
14,14,10093.5385066487
14,15,10665.5336269344
14,16,13903.0706362887
14,17,12360.025252177
14,18,19341.675443783
14,19,18699.1824437329
